"","Option","nTrees","AvgDiscDiff","AvgDefDiff","AvgDbkDiff","AvgCSDiff","AvgCLEDiff"
"1","Durham2022",27,0.407407407407407,0.0740740740740741,0.37037037037037,0.37037037037037,0.333333333333333
"2","Durham2023",56,0.446428571428571,0.160714285714286,0.46551724137931,0.53448275862069,0.258620689655172
"3","AllDurham",83,0.433734939759036,0.132530120481928,0.435294117647059,0.482352941176471,0.282352941176471
"4","Chicago2021",23,0.434782608695652,0.434782608695652,0.478260869565217,0.434782608695652,0.391304347826087
"5","Chicago2022",69,0.434782608695652,0.318840579710145,0.565217391304348,0.753623188405797,0.384615384615385
"6","Chicago2023",71,0.323943661971831,0.154929577464789,0.309859154929577,0.366197183098592,0.225352112676056
"7","AllChicago",163,0.386503067484663,0.263803680981595,0.441717791411043,0.539877300613497,0.314465408805031
"8","All",246,0.402439024390244,0.219512195121951,0.439516129032258,0.520161290322581,0.30327868852459
