,Option,nTrees,AvgDiscDiff,AvgDefDiff,AvgDbkDiff,AvgCSDiff,AvgCLEDiff
1,Durham2022,27,0.407,0.074,0.593,0.370,0.333
2,Durham2023,56,0.482,0.161,0.759,0.534,0.259
3,AllDurham,83,0.458,0.133,0.706,0.482,0.282
4,Chicago2021,23,0.435,0.435,1.000,0.435,0.391
5,Chicago2022,69,0.449,0.319,0.855,0.754,0.385
6,Chicago2023,71,0.324,0.155,0.465,0.366,0.225
7,AllChicago,163,0.393,0.264,0.706,0.540,0.314
8,All,246,0.415,0.220,0.706,0.520,0.303
