OBJECTID,TREE_ID,SUB_NAME,SUB_GENUS,SUB_SPECIES,SUB_VARIETY,PLANTS,USER_ID,DATE_ADDED,DATE_UPDATED,NAME,SUB_ID,NOTES,DBH,REVISIT_ID,REVISIT_DATE_ADDED,REVISIT_DATE_UPDATED,REVISIT_NOTES,REVISIT_TYPE,CROWN_VIGOR,LEAF_DEFOLIATIONF,LEAF_DISCOLORATIONF,FINE_TWIG_DIEBACKF,CROWN_LIGHT_EXPOSURE,CROWN_DENSITY_TRANS,INV_CROWN_VIGOR,PercImpervious
119,FB333E11-32DC-4279-AE86-3110E8126205,elm,Ulmus,spp.,NA,ULMUS               ,189796,28:45.0,,S-P21-ULUN-019,3478,,1.6,380,32:35.0,,Some broken branches due to stake,2,2,1,2,20,5,65,4,60
120,CEDCA89C-0ADC-4332-A530-3181AE0760B4,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,51:41.0,10:41.5,S-Q21-GYDI-041,3986,,4.25,255,53:50.0,,,2,1,1,2,1,5,45,5,82
123,B51D5E9B-6136-4A7C-ACE6-32AC277A80FE,European smoketree,Cotinus,coggygria,NA,COCO10              ,189796,05:37.0,,S-M19-COCO-004,17245,"Multistemmed, 1.64 measured at 1'4""",1.67,449,07:13.0,,,2,1,1,2,5,5,45,5,54
124,5CAAA761-9370-4752-88AD-32C317C3E19D,Norway maple,Acer,platanoides,NA,ACPL                ,189796,10:57.0,24:31.0,S-P21-ACPL-063,3002,,1.01,421,11:52.0,,"We hypothesize this tree to be an Acer platanoides (Noway maple), even if it is recorded in the city inventory as an Acer truncatus (Shantung maple); leaves are scorched.",2,2,1,1,1,5,35,4,66
125,864C0AF8-70A5-49A0-A7A1-32E4AF3F5BD8,Chinese elm,Ulmus,parvifolia,NA,ULPA                ,189796,20:50.0,56:31.5,S-Q21-ULPA-075,6567,,4.51,283,22:31.0,,Trunk damage,2,2,1,2,1,3,45,4,55
127,4EED77C2-E7C9-48B3-B315-3497EEFCD33C,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,19:51.0,20:40.1,S-U16-LAUN-001,6931,"Multistemmed, other dbh 2.5",3.65,287,21:12.0,,Resprout from pruning scar.,2,1,1,1,5,5,55,5,2
128,BEB59EFB-B10B-4A7B-A16A-3510D4B74C20,red maple,Acer,rubrum,NA,ACRU                ,189796,34:11.0,18:48.9,S-Q21-ACRU-021,3247,,5.6,235,35:46.0,,,2,3,1,2,25,5,55,3,72
129,1F0C008A-6140-4602-BAC9-355826EBEE8B,pecan,Carya,illinoinensis,NA,CAIL2               ,189796,22:07.0,46:38.3,S-O21-CAIL-001,3262,Plants growing on the bottom in shrub form; DBH cannot be measured because on private property. We estimated DBH at approximately 3'10'',25,306,25:52.0,,We could not measure DBH because on private property.,2,1,1,1,1,5,35,5,27
130,FF390277-72F5-4A9F-AF67-359324EBA124,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,40:33.0,11:07.3,S-Q21-GYDI-055,3986,,3.01,265,42:22.0,,"Trunk damage, large branch dieback",2,4,2,3,55,4,65,2,77
132,B593D2B5-37B8-4DCE-8707-36C56C054E1F,sugar maple,Acer,saccharum,NA,ACSA3               ,189796,16:27.0,,S-R21-ACSA-019,3249,Tag with species present; protection at base.,0.75,339,19:07.0,,Tag with species present; protection at base.,2,2,2,2,5,3,35,4,11
133,3B2021DD-7E4D-4504-867C-36CB59C4CC04,red maple,Acer,rubrum,NA,ACRU                ,189796,33:03.0,19:02.9,S-Q21-ACRU-029,3247,,5.35,243,34:36.0,56:03.0,,2,1,1,2,5,4,35,5,84
134,0E01E025-E498-46DB-AAB4-372B9CDD9FB8,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,38:00.0,46:15.0,S-P21-ZESE-030,18056,,1.2,390,39:02.0,,,2,5,NA,NA,100,NA,95,1,75
137,89F77935-E16E-4B6F-8212-38F408DB8ECD,red maple,Acer,rubrum,NA,ACRU                ,189796,14:36.0,19:25.1,S-Q21-ACRU-017,3247,,5.1,231,16:12.0,18:54.0,,2,2,1,1,20,5,45,4,72
138,0F57F985-F9B4-4AF4-98C5-393BAC308F99,sweetbay,Magnolia,virginiana,NA,MAVI2               ,189796,59:48.0,,S-O21-MAVI-071,3302,,1.4,321,00:32.0,,,2,2,1,2,10,5,55,4,48
139,FD74BB97-BE78-4D80-9258-3950F465549C,sweetbay,Magnolia,virginiana,NA,MAVI2               ,189796,55:51.0,,S-O21-MAVI-070,3302,,1,320,57:36.0,,,2,1,1,1,5,5,55,5,48
140,4D0A816B-A6D5-4313-A7B4-39796E972E69,willow oak,Quercus,phellos,NA,QUPH                ,179696,53:55.0,,S-O21-QUPH-018,3343,,22.7,126,55:04.0,,Some epicormic branching; regrowth from pruning scars; root decay.,2,2,2,1,1,3,25,4,37
141,AD050AEE-57F0-4D71-9302-39BFC86FDD59,unlisted plant,,,NA,,189796,17:13.0,,S-M19-NYSY-007,59420,"DBH measured at 2'11""",12.9,451,18:46.0,,,2,2,2,2,5,4,35,4,36
143,5ACE1826-90DC-439A-8E18-3B191D21C9D8,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,20:05.0,59:47.3,S-O18-CECA-010,3273,"DBH measures at 2'6""Multistemmed, other is 0.6in",1.1,5,23:49.0,,,2,3,3,1,1,5,65,3,69
144,FBF44CC8-7FF2-41A1-B367-3BCB33986D39,ginkgo,Ginkgo,biloba,NA,GIBI2               ,189796,23:25.0,,S-P21-GIBI-026,3976,,1.5,387,24:38.0,,"Top is broken off, extensive trunk peeling, broken branches",2,4,2,3,30,5,55,2,75
145,D4EDED3E-128D-4D5F-8F88-3CDD3E9B2F43,hedge maple,Acer,campestre,NA,ACCA5               ,179696,14:11.0,,S-O21-ACCA-039,12452,,7.4,146,15:36.0,,,2,2,1,2,5,1,45,4,59
148,B0757714-9605-4231-9A7C-3DB23C072BDF,Kousa dogwood,Cornus,kousa,NA,COKO2               ,189796,26:01.0,,S-T18-COKO-028,17242,DBH measured at 3'8''.,3.48,471,27:25.0,,,2,1,1,1,1,4,35,5,21
150,BBC9634B-F3CA-45AD-9F55-3EBD931B5A88,unlisted plant,,,NA,,189796,44:00.0,,S-O21-ASTR-067,59420,,0.6,317,45:02.0,,,2,2,2,2,5,4,45,4,37
151,3673A76A-22FC-4A59-A879-402E6AC0D2E1,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,30:35.0,00:02.7,S-O18-CECA-017,3273,"DBH measured 2'9""",1.8,12,33:34.0,,,2,1,2,2,1,5,45,5,85
152,96BE4A1E-5676-4165-AE86-403B7835FF86,elm,Ulmus,spp.,NA,ULMUS               ,189796,39:10.0,,S-P21-ULUN-021,3478,,1.45,382,40:04.0,,,2,2,2,2,15,5,55,4,51
153,062480DE-3D87-434A-BF03-40D28D87456F,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,46:48.0,03:27.4,S-Q21-ZESE-067,18056,,13.5,275,49:14.0,,Trunk damage,2,2,1,2,10,4,45,4,79
154,83F37117-F1A5-426A-8FB2-420EB5DAB930,unlisted plant,,,NA,,189796,54:59.0,,S-M19-NYSY-014,59420,"Dbh measured at 3'6""",14.3,588,20:31.0,20:31.0,,2,2,1,2,5,4,35,4,51
155,03A22C48-9132-4D84-AAA4-422F8E62CB81,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,04:17.0,13:04.0,S-R21-CACA-002,3258,,1,1,49:18.6,,,2,2,2,2,1,4,35,4,25
156,E7236CC0-62C8-4B65-88B3-4271919BDADD,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,28:35.0,11:19.7,S-Q21-GYDI-036,3986,,3.4,250,29:44.0,33:06.0,Fresh pruning,2,1,1,1,1,5,45,5,84
157,62B8D89F-4FC5-4DB1-8AF4-42E39639F962,eastern redbud,Cercis,canadensis,NA,CECA4               ,203612,49:44.0,37:25.1,S-O18-CECA-003,3273,DBH measured at 3' 1'',1.7,1,53:48.0,,"Additional stems near bottom, not counted.",2,2,2,2,1,5,45,4,71
158,BAF8FCEE-FD27-4E2A-B471-444A98DA1822,red maple,Acer,rubrum,NA,ACRU                ,189796,22:03.0,19:36.5,S-Q21-ACRU-027,3247,,4.5,241,23:06.0,56:06.0,,2,3,1,2,35,5,55,3,83
159,DE038F97-E332-4D01-BEE0-450B4B259BAB,bur oak,Quercus,macrocarpa,NA,QUMA2               ,179696,59:03.0,,S-O21-QUMA-036,3329,,1.25,143,00:27.0,,,2,2,2,2,1,2,45,4,14
