Date,Tree Name,Tree Number,QA/QC,Genus,Species,Species ID Code,Campus ID,ID Notes,Multi-stemmed,DBH (in),DBH 2 (in),DBH 3 (in),DBH 4 (in),DBH 5 (in),DBH 6 (in),Total DBH,Esimated DBH,Height Measured (DBH),Land Use Type,Site type,Percent Imperv in Root Zone,Street,Sidewalk,Powerline,Mulch,Mulch Volcano,Tree guard,Stake,Gator bag,Pruned,Prune - Cut to branch collar,Prune - hatrack,Prune - flush cut,Prune - tear bark,Prune - bleeding wound,Gardenscape,Mowing,Grass Description,Other Cues to Care,Roots visible above soil,Fungal Conch,Road/Sidewalk Lift,Road/Sidewalk crack,Broken or Dead Branches in crown,Trunk damage,Leaf curling or Wrinkling,Other Notable Damage,Other notes,Discoloration,Defoliation,Dieback,Crown Vigor,Crown Light Exposure,Dead,"Removed, Missing, or Inaccessible",Go Back/ Double-Check
6/12/2023,ACRU-011,11,FALSE,Acer,rubrum,ACRU,RAC220120443,,FALSE,15.5,,,,,,15.5,,"3'11""",INST,OM,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Minimal,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"decay from pruning wounds, woodpecker damage",,2,1,2,2,4,FALSE,FALSE,FALSE
6/12/2023,ULPA-012,12,FALSE,Ulmus,parvifolia,ULPA,RUL20120351,,FALSE,3.9,,,,,,3.9,,,INST,PB,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Minimal,N/A,None,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,ivy around base,2,1,8,3,4,FALSE,FALSE,FALSE
6/12/2023,ULPA-013,13,FALSE,Ulmus,parvifolia,ULPA,RUL20120350,,FALSE,3.7,,,,,,3.7,,"4'3""",INST,PB,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Minimal,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,ivy around base,2,1,8,3,5,FALSE,FALSE,FALSE
6/12/2023,ULPA-014,14,FALSE,Ulmus,parvifolia,ULPA,RUL20120348,,FALSE,3.6,,,,,,3.6,,"4'0""",INST,PB,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Minimal,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,ivy around base,2,1,9,4,4,FALSE,FALSE,FALSE
6/12/2023,ULPA-015,15,FALSE,Ulmus,parvifolia,ULPA,RUL20120346,,FALSE,3.9,,,,,,3.9,,,INST,PB,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Minimal,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,ivy around base,2,1,8,3,5,FALSE,FALSE,FALSE
6/12/2023,ULPA-016,16,FALSE,Ulmus,parvifolia,ULPA,RUL20120345,,FALSE,4.2,,,,,,4.2,,"3'8""",INST,PB,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Minimal,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,ivy around base,2,1,9,3,4,FALSE,FALSE,FALSE
6/12/2023,ACRU-017,17,FALSE,Acer,rubrum,ACRU,RedMaple1,next to sculpture,TRUE,5.5,3.3,,,,,8.8,,,INST,NAT,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Moderate,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,extensive pine needles around base,2,1,6,2,1,FALSE,FALSE,FALSE
6/12/2023,ACRU-018,18,FALSE,Acer,rubrum,ACRU,RedMaple2,,FALSE,3.2,,,,,,3.2,,,INST,NAT,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Moderate,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,extensive pine needles around base,2,2,8,3,0,FALSE,FALSE,FALSE
6/12/2023,ACRU-019,19,FALSE,Acer,rubrum,ACRU,RedMaple3,,FALSE,7.1,,,,,,7.1,,,INST,NAT,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Moderate,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,extensive pine needles around base,2,2,6,3,1,FALSE,FALSE,FALSE
6/12/2023,CECA-020,20,FALSE,Cercis,canadensis,CECA,RCE620130430,inaccessible ,FALSE,,,,,,,0,,,INST,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,FALSE,TRUE,FALSE
