"","Variable","Beta_est","Sigma","Sensitivity"
"1","(Intercept)",0.3566,0.754900318559543,0.410427577753003
"2","SegmentModK18",-1.101,0.754900318559543,1.26719226894576
"3","SegmentModM19",-0.8427,0.754900318559543,0.969902747539136
"4","SegmentModM22",-0.8975,0.754900318559543,1.03297462432227
"5","SegmentModO18",-0.979,0.754900318559543,1.12677677683733
"6","SegmentModO19",-0.4038,0.754900318559543,0.464752259945773
"7","SegmentModO21",-1.045,0.754900318559543,1.20273925617467
"8","SegmentModOther",-0.8804,0.754900318559543,1.01329343649395
"9","SegmentModP21",-0.2229,0.754900318559543,0.256546009762043
"10","SegmentModQ21",-0.2043,0.754900318559543,0.23513840194879
"11","SegmentModR21",-1.181,0.754900318559543,1.35926800147588
"12","SegmentModR24",-1.276,0.754900318559543,1.46860793385539
"13","SegmentModU17",-0.635,0.754900318559543,0.730851126957816
"14","SegmentModV19",-0.0168,0.754900318559543,0.0193359038313249
"15","SegmentModX16",-1.661,0.754900318559543,1.91172239665659
"16","Year2023",0.1859,0.754900318559543,0.213960983466863
"17","BasalArea",0.03042,0.754900318559543,0.0350117972945776
"18","SppGroupAcer",0.1548,0.754900318559543,0.178166542445779
"19","SppGroupAcer_rubrum",0.334,0.754900318559543,0.384416183313245
"20","SppGroupCercis_canadensis",2.169,0.754900318559543,2.49640329822284
"21","SppGroupOther_lg",1.042,0.754900318559543,1.19928641620479
"22","SppGroupOther_md",1.097,0.754900318559543,1.26258848231925
"23","SppGroupOther_sm",0.3933,0.754900318559543,0.452667320051195
"24","SppGroupPrunus_spp",0.02752,0.754900318559543,0.0316740519903608
"25","SppGroupQuercus",0.7067,0.754900318559543,0.813374002237935
"26","SppGroupQuercus_phellos",1.232,0.754900318559543,1.41796628096383
"27","SppGroupUlmus_americana",0.1708,0.754900318559543,0.196581688951803
"28","PowerlineTRUE",-0.3528,0.754900318559543,0.406053980457823
"29","MulchMulch",-0.2447,0.754900318559543,0.2816366468765
"30","MulchVolcano",-0.3251,0.754900318559543,0.374172758069269
"31","Gardenscape2",-0.4196,0.754900318559543,0.482937217120472
"32","Gardenscape3",-0.4451,0.754900318559543,0.512286356864447
"33","Gardenscape4",-0.391,0.754900318559543,0.450020142740955
"34","PrunedCorrect1",0.1144,0.754900318559543,0.13166829751807
"35","UrbanApp1",-0.3422,0.754900318559543,0.393853945897582
"36","SiteTypeM",0.5993,0.754900318559543,0.689762331316251
"37","SiteTypeOM",0.2845,0.754900318559543,0.327444323810234
"38","SiteTypeSP",0.4673,0.754900318559543,0.537837372641555
"39","SiteTypeYard",0.2733,0.754900318559543,0.314553721256018
"40","LandUseCOMM_Mx",-0.2568,0.754900318559543,0.295563101421681
"41","LandUseINST",-0.3594,0.754900318559543,0.413650228391558
"42","LandUseNAT_V",-0.05038,0.754900318559543,0.0579846925608422
"43","LandUseOther",-0.2784,0.754900318559543,0.320423549204813
"44","BasalArea:SppGroupAcer",-0.1361,0.754900318559543,0.156643839966864
"45","BasalArea:SppGroupAcer_rubrum",-0.2666,0.754900318559543,0.30684237865662
"46","BasalArea:SppGroupCercis_canadensis",-0.03935,0.754900318559543,0.0452897509382521
"47","BasalArea:SppGroupOther_lg",-0.1025,0.754900318559543,0.117972032304214
"48","BasalArea:SppGroupOther_md",-0.001958,0.754900318559543,0.00225355355367465
"49","BasalArea:SppGroupOther_sm",-0.2239,0.754900318559543,0.257696956418669
"50","BasalArea:SppGroupPrunus_spp",-0.1577,0.754900318559543,0.181504287749996
"51","BasalArea:SppGroupQuercus",-0.07927,0.754900318559543,0.0912355414707812
"52","BasalArea:SppGroupQuercus_phellos",-0.05095,0.754900318559543,0.0586407321551193
"53","BasalArea:SppGroupUlmus_americana",-0.2533,0.754900318559543,0.291534788123488
"54","UrbanApp1:SiteTypeM",-1.24,0.754900318559543,1.42717385421684
"55","UrbanApp1:SiteTypeOM",0.2371,0.754900318559543,0.272889452286139
"56","UrbanApp1:SiteTypeSP",-0.4146,0.754900318559543,0.47718248383734
"57","UrbanApp1:SiteTypeYard",0.01355,0.754900318559543,0.0155953271972888
