"","Variable","Beta_est","Sigma","Sensitivity"
"1","(Intercept)",-0.5771,0.866251547155318,0.620053356332917
"2","Segment128",0.7406,0.866251547155318,0.795722605614553
"3","Segment153",0.4258,0.866251547155318,0.457492148893703
"4","Segment157",0.3404,0.866251547155318,0.365735855996751
"5","Segment16",0.7572,0.866251547155318,0.81355813795752
"6","Segment244",0.6676,0.866251547155318,0.717289240491865
"7","Segment275",0.1762,0.866251547155318,0.189314505953665
"8","Segment281",0.4565,0.866251547155318,0.490477139431601
"9","Segment292",0.09627,0.866251547155318,0.103435343292618
"10","Segment306",0.1936,0.866251547155318,0.208009582024004
"11","Segment49",0.5943,0.866251547155318,0.638533546471413
"12","Segment55",-0.2225,0.866251547155318,0.239060599175315
"13","Segment57",0.2832,0.866251547155318,0.304278479489659
"14","Year2022",0.5178,0.866251547155318,0.556339677541474
"15","Year2023",0.9215,0.866251547155318,0.990086930966528
"16","BasalArea",-0.1547,0.866251547155318,0.166214268280545
"17","SppGroupAcer_platanoides",0.6912,0.866251547155318,0.742645780449337
"18","SppGroupCeltis_occidentalis",0.2615,0.866251547155318,0.280963355884696
"19","SppGroupFraxinus spp.",0.3301,0.866251547155318,0.354669230506838
"20","SppGroupOther_lg",0.5228,0.866251547155318,0.561711825837548
"21","SppGroupOther_md",0.2773,0.866251547155318,0.297939344500291
"22","SppGroupOther_sm",-1.206,0.866251547155318,1.29576216901317
"23","SppGroupTilia spp.",-0.1801,0.866251547155318,0.193504781624603
"24","SppGroupUlmus spp.",0.6581,0.866251547155318,0.707082158729324
"25","MulchMulch",0.1465,0.866251547155318,0.157403945074982
"26","MulchVolcano",0.1972,0.866251547155318,0.211877528797178
"27","PrunedCorrect1",0.09007,0.866251547155318,0.0967738794054858
"28","UrbanApp1",-0.5202,0.866251547155318,0.558918308723589
"29","SiteTypeOther",0.2531,0.866251547155318,0.27193814674729
"30","SiteTypeSP",-0.3048,0.866251547155318,0.327486160128701
"31","LandUseCOMM_Mx",0.3842,0.866251547155318,0.412795875070363
"32","LandUseINST",-0.1454,0.866251547155318,0.156222072449846
"33","LandUseMFR",0.06383,0.866251547155318,0.0685808451476869
"34","LandUseMP",0.2212,0.866251547155318,0.237663840618335
"35","LandUseOther",-0.0446,0.866251547155318,0.0479195628009844
"36","BasalArea:SppGroupAcer_platanoides",0.3566,0.866251547155318,0.383141616476032
"37","BasalArea:SppGroupCeltis_occidentalis",0.1008,0.866251547155318,0.108302509648862
"38","BasalArea:SppGroupFraxinus spp.",0.3216,0.866251547155318,0.345536578403511
"39","BasalArea:SppGroupOther_lg",0.2483,0.866251547155318,0.266780884383059
"40","BasalArea:SppGroupOther_md",0.1759,0.866251547155318,0.1889921770559
"41","BasalArea:SppGroupOther_sm",-0.1156,0.866251547155318,0.124204068605242
"42","BasalArea:SppGroupTilia spp.",0.2124,0.866251547155318,0.228208859617244
"43","BasalArea:SppGroupUlmus spp.",0.3732,0.866251547155318,0.400977148819
"44","UrbanApp1:SiteTypeOther",-1.271,0.866251547155318,1.36560009686213
"45","UrbanApp1:SiteTypeSP",0.2517,0.866251547155318,0.27043394522439
