"","Estimate","SE","CI_025","CI_975","sig95"
"Discoloration_BasalArea:SppGroupAcerplatanoides",0.417,0.144,0.139,0.704,"*"
"Discoloration_BasalArea:SppGroupCeltisoccidentalis",0.265,0.155,-0.0395,0.572,""
"Discoloration_BasalArea:SppGroupFraxinusspp.",0.107,0.143,-0.171,0.388,""
"Discoloration_BasalArea:SppGroupOtherlg",0.424,0.104,0.221,0.631,"*"
"Discoloration_BasalArea:SppGroupOthermd",0.213,0.102,0.0131,0.414,"*"
"Discoloration_BasalArea:SppGroupOthersm",0.0985,0.154,-0.202,0.403,""
"Discoloration_BasalArea:SppGroupTiliaspp.",0.49,0.142,0.215,0.772,"*"
"Discoloration_BasalArea:SppGroupUlmusspp.",0.203,0.119,-0.0307,0.437,""
"Discoloration_UrbanApp1:SiteTypeOther",-1.29,0.904,-3.08,0.447,""
"Discoloration_UrbanApp1:SiteTypeSP",0.161,0.254,-0.331,0.661,""
"Dieback_intercept",3.15,0.645,1.89,4.42,"*"
"Dieback_Segment128",2.14,0.609,0.942,3.35,"*"
"Dieback_Segment153",0.114,0.442,-0.728,1,""
"Dieback_Segment157",-0.116,0.398,-0.907,0.67,""
"Dieback_Segment16",1.18,0.437,0.324,2.05,"*"
"Dieback_Segment244",-0.279,0.42,-1.09,0.541,""
"Dieback_Segment275",-0.427,0.41,-1.24,0.371,""
"Dieback_Segment281",1.17,0.539,0.0977,2.25,"*"
"Dieback_Segment292",-0.181,0.435,-1.03,0.673,""
"Dieback_Segment306",0.474,0.37,-0.248,1.22,""
"Dieback_Segment49",-0.167,0.37,-0.897,0.565,""
"Dieback_Segment55",-1.34,0.556,-2.45,-0.271,"*"
"Dieback_Segment57",0.525,0.443,-0.336,1.41,""
"Dieback_Year2022",0.3,0.155,-0.00542,0.604,""
"Dieback_Year2023",0.703,0.148,0.414,0.993,"*"
"Dieback_BasalArea",0.364,0.134,0.0992,0.626,"*"
"Dieback_SppGroupAcerplatanoides",1.28,0.863,-0.4,3,""
"Dieback_SppGroupCeltisoccidentalis",-0.867,0.991,-2.77,1.1,""
"Dieback_SppGroupFraxinusspp.",2.02,0.686,0.686,3.38,"*"
"Dieback_SppGroupOtherlg",0.0894,0.714,-1.3,1.47,""
"Dieback_SppGroupOthermd",0.697,0.609,-0.507,1.89,""
"Dieback_SppGroupOthersm",-0.84,1.27,-3.35,1.65,""
"Dieback_SppGroupTiliaspp.",-2.63,0.798,-4.21,-1.05,"*"
"Dieback_SppGroupUlmusspp.",0.857,0.66,-0.42,2.16,""
"Dieback_Powerline",-0.0714,0.203,-0.474,0.334,""
"Dieback_MulchMulch",0.264,0.225,-0.177,0.704,""
"Dieback_MulchVolcano",0.856,0.405,0.0626,1.65,"*"
"Dieback_Gardenscape2",-0.37,0.241,-0.836,0.104,""
"Dieback_Gardenscape3",-0.224,0.314,-0.84,0.395,""
"Dieback_Gardenscape4",-0.431,0.362,-1.15,0.264,""
"Dieback_PrunedCorrect1",0.017,0.181,-0.339,0.372,""
"Dieback_UrbanApp1",-1.68,0.483,-2.61,-0.723,"*"
"Dieback_SiteTypeOther",0.357,0.895,-1.37,2.12,""
"Dieback_SiteTypeSP",-0.828,0.3,-1.42,-0.247,"*"
"Dieback_LandUseCOMMMx",0.838,0.371,0.108,1.57,"*"
"Dieback_LandUseINST",0.879,0.724,-0.526,2.33,""
"Dieback_LandUseMFR",0.0514,0.165,-0.268,0.377,""
"Dieback_LandUseMP",-0.785,0.581,-1.94,0.347,""
"Dieback_LandUseOther",-1.32,0.519,-2.35,-0.31,"*"
"Dieback_BasalArea:SppGroupAcerplatanoides",0.195,0.286,-0.37,0.763,""
"Dieback_BasalArea:SppGroupCeltisoccidentalis",-0.651,0.282,-1.21,-0.102,"*"
"Dieback_BasalArea:SppGroupFraxinusspp.",0.615,0.267,0.0955,1.14,"*"
"Dieback_BasalArea:SppGroupOtherlg",-0.173,0.182,-0.529,0.183,""
"Dieback_BasalArea:SppGroupOthermd",-0.186,0.179,-0.539,0.166,""
"Dieback_BasalArea:SppGroupOthersm",-0.339,0.286,-0.904,0.222,""
"Dieback_BasalArea:SppGroupTiliaspp.",-0.509,0.26,-1.02,0.00654,""
"Dieback_BasalArea:SppGroupUlmusspp.",0.329,0.216,-0.0865,0.765,""
"Dieback_UrbanApp1:SiteTypeOther",0.543,1.54,-2.47,3.58,""
"Dieback_UrbanApp1:SiteTypeSP",0.811,0.461,-0.103,1.7,""
