"","Variable","Beta_est","Sigma","Sensitivity"
"1","(Intercept)",-0.4752,0.875923764441231,0.507742219781545
"2","Segment128",0.6496,0.875923764441231,0.694085324011135
"3","Segment153",0.5028,0.875923764441231,0.5372322982032
"4","Segment157",0.3309,0.875923764441231,0.353560396729194
"5","Segment16",0.7314,0.875923764441231,0.781487078173867
"6","Segment244",0.6098,0.875923764441231,0.651559776142226
"7","Segment275",0.1655,0.875923764441231,0.176833622419709
"8","Segment281",0.5974,0.875923764441231,0.638310610474526
"9","Segment292",0.06143,0.875923764441231,0.0656367941102279
"10","Segment306",0.1194,0.875923764441231,0.127576643606726
"11","Segment49",0.5296,0.875923764441231,0.565867591743068
"12","Segment55",0.001673,0.875923764441231,0.0017875688840373
"13","Segment57",0.2255,0.875923764441231,0.240942488553742
"14","Year2022",0.5212,0.875923764441231,0.556892350484304
"15","Year2023",0.9307,0.875923764441231,0.994435361849082
"16","BasalArea",-0.1594,0.875923764441231,0.170315887696082
"17","SppGroupAcer_platanoides",0.5594,0.875923764441231,0.597708328589638
"18","SppGroupCeltis_occidentalis",0.1018,0.875923764441231,0.10877137620741
"19","SppGroupFraxinus spp.",0.3731,0.875923764441231,0.398650299243464
"20","SppGroupOther_lg",0.4519,0.875923764441231,0.482846610099495
"21","SppGroupOther_md",0.2049,0.875923764441231,0.218931777847724
"22","SppGroupOther_sm",-1.169,0.875923764441231,1.24905440851142
"23","SppGroupTilia spp.",-0.2614,0.875923764441231,0.279300960123939
"24","SppGroupUlmus spp.",0.6803,0.875923764441231,0.726887693849716
"25","PrunedCorrect1",0.09235,0.875923764441231,0.0986742297912998
"26","UrbanApp1",-0.4481,0.875923764441231,0.478786381911006
"27","SiteTypeOther",0.356,0.875923764441231,0.380379272395265
"28","SiteTypeSP",-0.3198,0.875923764441231,0.341700256494398
"29","BasalArea:SppGroupAcer_platanoides",0.3389,0.875923764441231,0.362108245547065
"30","BasalArea:SppGroupCeltis_occidentalis",0.0662,0.875923764441231,0.0707334489678835
"31","BasalArea:SppGroupFraxinus spp.",0.337,0.875923764441231,0.360078131452821
"32","BasalArea:SppGroupOther_lg",0.2293,0.875923764441231,0.245002716742231
"33","BasalArea:SppGroupOther_md",0.162,0.875923764441231,0.17309393856189
"34","BasalArea:SppGroupOther_sm",-0.1036,0.875923764441231,0.110694642191431
"35","BasalArea:SppGroupTilia spp.",0.1834,0.875923764441231,0.195959434149695
"36","BasalArea:SppGroupUlmus spp.",0.3611,0.875923764441231,0.385828526016658
"37","UrbanApp1:SiteTypeOther",-1.371,0.875923764441231,1.46488759116266
"38","UrbanApp1:SiteTypeSP",0.2353,0.875923764441231,0.251413603355634
