"","Variable","Beta_est","Sigma","Sensitivity"
"1","(Intercept)",-0.3938,0.877652350513414,0.420353290752459
"2","Segment128",0.587,0.877652350513414,0.626580451172407
"3","Segment153",0.494,0.877652350513414,0.527309613082059
"4","Segment157",0.3328,0.877652350513414,0.355240160392124
"5","Segment16",0.75,0.877652350513414,0.800571274922155
"6","Segment244",0.6178,0.877652350513414,0.659457244862543
"7","Segment275",0.1588,0.877652350513414,0.169507624610184
"8","Segment281",0.6039,0.877652350513414,0.644619990567319
"9","Segment292",0.05101,0.877652350513414,0.0544495209783722
"10","Segment306",0.1134,0.877652350513414,0.12104637676823
"11","Segment49",0.5277,0.877652350513414,0.563281949035228
"12","Segment55",0.009728,0.877652350513414,0.0103839431499236
"13","Segment57",0.2066,0.877652350513414,0.22053070053189
"14","Year2022",0.5186,0.877652350513414,0.553568350899506
"15","Year2023",0.9346,0.877652350513414,0.997618551389661
"16","BasalArea",-0.1543,0.877652350513414,0.164704196960651
"17","SppGroupAcer_platanoides",0.5395,0.877652350513414,0.57587760376067
"18","SppGroupCeltis_occidentalis",0.09568,0.877652350513414,0.102131546112736
"19","SppGroupFraxinus spp.",0.3688,0.877652350513414,0.393667581588388
"20","SppGroupOther_lg",0.4327,0.877652350513414,0.461876254211755
"21","SppGroupOther_md",0.1989,0.877652350513414,0.212311502109355
"22","SppGroupOther_sm",-1.188,0.877652350513414,1.26810489947669
"23","SppGroupTilia spp.",-0.2954,0.877652350513414,0.315318339482673
"24","SppGroupUlmus spp.",0.6766,0.877652350513414,0.72222203281644
"25","UrbanApp1",-0.4557,0.877652350513414,0.486427106642701
"26","SiteTypeOther",0.3768,0.877652350513414,0.402207008520891
"27","SiteTypeSP",-0.3095,0.877652350513414,0.330369079451209
"28","BasalArea:SppGroupAcer_platanoides",0.3303,0.877652350513414,0.352571589475717
"29","BasalArea:SppGroupCeltis_occidentalis",0.06325,0.877652350513414,0.0675148441851017
"30","BasalArea:SppGroupFraxinus spp.",0.3401,0.877652350513414,0.363032387468033
"31","BasalArea:SppGroupOther_lg",0.2244,0.877652350513414,0.239530925456709
"32","BasalArea:SppGroupOther_md",0.1616,0.877652350513414,0.17249642403656
"33","BasalArea:SppGroupOther_sm",-0.1003,0.877652350513414,0.107063065166256
"34","BasalArea:SppGroupTilia spp.",0.1755,0.877652350513414,0.187333678331784
"35","BasalArea:SppGroupUlmus spp.",0.3628,0.877652350513414,0.38726301138901
"36","UrbanApp1:SiteTypeOther",-1.36,0.877652350513414,1.45170257852551
"37","UrbanApp1:SiteTypeSP",0.2309,0.877652350513414,0.246469209839367
