"","Variable","Beta_est","Sigma","Sensitivity"
"1","(Intercept)",-0.5214,0.873096947687421,0.558007186069624
"2","Segment128",0.7323,0.873096947687421,0.783714350515508
"3","Segment153",0.4292,0.873096947687421,0.459333878521447
"4","Segment157",0.3696,0.873096947687421,0.39554939772024
"5","Segment16",0.7703,0.873096947687421,0.824382308073325
"6","Segment244",0.6489,0.873096947687421,0.694458885770194
"7","Segment275",0.1697,0.873096947687421,0.181614536777935
"8","Segment281",0.5849,0.873096947687421,0.625965483567555
"9","Segment292",0.08861,0.873096947687421,0.0948312557683724
"10","Segment306",0.1702,0.873096947687421,0.182149641482643
"11","Segment49",0.5766,0.873096947687421,0.6170827454694
"12","Segment55",-0.03128,0.873096947687421,0.0334761503265398
"13","Segment57",0.255,0.873096947687421,0.27290339940114
"14","Year2022",0.5234,0.873096947687421,0.560147604888456
"15","Year2023",0.9152,0.873096947687421,0.979455651497737
"16","BasalArea",-0.1552,0.873096947687421,0.166096500341399
"17","SppGroupAcer_platanoides",0.6053,0.873096947687421,0.647797755519646
"18","SppGroupCeltis_occidentalis",0.1621,0.873096947687421,0.173480945266371
"19","SppGroupFraxinus spp.",0.3655,0.873096947687421,0.391161539141633
"20","SppGroupOther_lg",0.4685,0.873096947687421,0.501393108311505
"21","SppGroupOther_md",0.2236,0.873096947687421,0.23929882394547
"22","SppGroupOther_sm",-1.186,0.873096947687421,1.26926835956765
"23","SppGroupTilia spp.",-0.2276,0.873096947687421,0.243579661583135
"24","SppGroupUlmus spp.",0.6993,0.873096947687421,0.748397440004772
"25","MulchMulch",0.1467,0.873096947687421,0.156999720361361
"26","MulchVolcano",0.2633,0.873096947687421,0.281786137499294
"27","PrunedCorrect1",0.09253,0.873096947687421,0.0990264766532841
"28","UrbanApp1",-0.4784,0.873096947687421,0.511988181464726
"29","SiteTypeOther",0.2438,0.873096947687421,0.260917054015678
"30","SiteTypeSP",-0.3275,0.873096947687421,0.350493581583816
"31","BasalArea:SppGroupAcer_platanoides",0.3522,0.873096947687421,0.376927753996397
"32","BasalArea:SppGroupCeltis_occidentalis",0.08403,0.873096947687421,0.0899296966732461
"33","BasalArea:SppGroupFraxinus spp.",0.332,0.873096947687421,0.35530952392619
"34","BasalArea:SppGroupOther_lg",0.2336,0.873096947687421,0.250000918039632
"35","BasalArea:SppGroupOther_md",0.1638,0.873096947687421,0.175300301262379
"36","BasalArea:SppGroupOther_sm",-0.1066,0.873096947687421,0.11408432304377
"37","BasalArea:SppGroupTilia spp.",0.1989,0.873096947687421,0.212864651532889
"38","BasalArea:SppGroupUlmus spp.",0.3733,0.873096947687421,0.39950917253508
"39","UrbanApp1:SiteTypeOther",-1.154,0.873096947687421,1.23502165846633
"40","UrbanApp1:SiteTypeSP",0.2622,0.873096947687421,0.280608907148936
